NT08AB0001	NT16AB0001	NT17AB0001	NT20ABA0020
NT08AB3127	----------	----------	----------
NT08AB3128	----------	----------	----------
NT08AB3129	----------	----------	----------
NT08AB3130	----------	----------	----------
NT08AB3131	NT16AB0851	----------	NT20ABA3121
NT08AB3132	NT16AB0850	----------	NT20ABA3122
NT08AB3134	NT16AB0848	----------	NT20ABA3124
NT08AB3135	NT16AB0847	----------	NT20ABA3125
NT08AB3136	NT16AB0846	----------	NT20ABA3126
NT08AB3137	NT16AB0845	NT17AB0785	NT20ABA3127
NT08AB3138	NT16AB0844	NT17AB0784	NT20ABA3128
NT08AB3139	NT16AB0843	NT17AB0783	NT20ABA3129
NT08AB3140	NT16AB0842	NT17AB0782	NT20ABA3130
NT08AB3141	NT16AB0841	NT17AB0779	NT20ABA3131
NT08AB3142	NT16AB0840	NT17AB0776	NT20ABA3132
NT08AB3143	NT16AB0839	NT17AB0775	NT20ABA3133
NT08AB3144	NT16AB0838	NT17AB0774	NT20ABA3134
NT08AB3145	NT16AB0837	NT17AB0773	NT20ABA3135
NT08AB3146	NT16AB0836	NT17AB0772	NT20ABA3136
NT08AB3147	NT16AB0834	----------	NT20ABA3139
NT08AB3148	NT16AB0833	NT17AB0765	NT20ABA3140
NT08AB3149	NT16AB0832	NT17AB0764	NT20ABA3141
NT08AB3150	NT16AB0831	NT17AB0763	NT20ABA3142
NT08AB3151	NT16AB0830	NT17AB0762	NT20ABA3143
NT08AB3152	NT16AB0829	NT17AB0761	NT20ABA3144
NT08AB3153	NT16AB0828	NT17AB0760	NT20ABA3145
NT08AB3154	NT16AB0827	NT17AB0759	NT20ABA3146
NT08AB3155	NT16AB0826	NT17AB0758	NT20ABA3147
NT08AB3158	NT16AB0823	NT17AB0755	NT20ABA3150
NT08AB3160	NT16AB0821	NT17AB0753	NT20ABA3152
NT08AB3161	NT16AB0820	NT17AB0752	NT20ABA3153
NT08AB3162	NT16AB0819	NT17AB0751	NT20ABA3154
NT08AB3163	NT16AB0818	NT17AB0750	NT20ABA3155
NT08AB3164	NT16AB0817	NT17AB0749	NT20ABA3156
NT08AB3165	NT16AB0816	NT17AB0748	NT20ABA3157
NT08AB3166	NT16AB0815	NT17AB0747	NT20ABA3158
NT08AB3167	NT16AB0814	NT17AB0746	NT20ABA3159
NT08AB3168	NT16AB0813	NT17AB0744	NT20ABA3160
NT08AB3169	NT16AB0812	NT17AB0743	NT20ABA3161
NT08AB3170	NT16AB0811	NT17AB0742	NT20ABA3162
NT08AB3171	----------	----------	----------
NT08AB3172	----------	----------	----------
NT08AB3173	NT16AB0810	NT17AB2166	NT20ABA3163
NT08AB3174	NT16AB0809	----------	NT20ABA3164
NT08AB3175	NT16AB0808	----------	NT20ABA3165
NT08AB3176	NT16AB0807	----------	NT20ABA3168
NT08AB3177	NT16AB0806	NT17ABC0004	NT20ABA3166
NT08AB3178	NT16AB0805	NT17AB2165	NT20ABA3169
NT08AB3179	NT16AB0804	NT17AB2169	NT20ABA3171
NT08AB3180	NT16AB0771	NT17AB0707	NT20ABA3204
NT08AB3181	NT16AB0772	NT17AB0708	NT20ABA3203
NT08AB3182	NT16AB0773	NT17AB0709	NT20ABA3202
NT08AB3183	NT16AB0774	NT17AB0711	NT20ABA3201
NT08AB3184	NT16AB0775	NT17AB0712	NT20ABA3200
NT08AB3185	NT16AB0776	NT17AB0713	NT20ABA3199
NT08AB3186	NT16AB0777	NT17AB0714	NT20ABA3198
NT08AB3187	NT16AB0778	NT17AB0715	NT20ABA3197
NT08AB3188	NT16AB0779	NT17AB0717	NT20ABA3196
NT08AB3189	NT16AB0780	NT17AB0718	NT20ABA3195
NT08AB3190	NT16AB0781	----------	----------
NT08AB3191	NT16AB0782	NT17AB0719	NT20ABA3194
NT08AB3192	NT16AB0783	NT17AB0720	NT20ABA3193
NT08AB3193	----------	NT17AB0721	----------
NT08AB3194	NT16AB0784	NT17AB0724	NT20ABA3192
NT08AB3195	NT16AB0785	NT17AB0725	NT20ABA3191
NT08AB3196	NT16AB0786	NT17AB0726	NT20ABA3190
NT08AB3197	NT16AB0787	NT17AB0727	NT20ABA3189
NT08AB3198	NT16AB0788	NT17AB0728	NT20ABA3188
NT08AB3199	NT16AB0789	NT17AB0729	NT20ABA3187
NT08AB3200	NT16AB0790	NT17AB0730	NT20ABA3186
NT08AB3201	NT16AB0791	----------	NT20ABA3185
NT08AB3202	NT16AB0792	NT17AB0731	NT20ABA3184
NT08AB3203	NT16AB0793	NT17AB0732	NT20ABA3183
NT08AB3204	NT16AB0794	NT17AB0733	NT20ABA3182
NT08AB3205	NT16AB0795	NT17AB0734	NT20ABA3181
NT08AB3206	NT16AB0796	NT17AB0735	NT20ABA3180
NT08AB3207	NT16AB0800	NT17AB0738	NT20ABA3176
NT08AB3208	NT16AB0801	----------	NT20ABA3175
NT08AB3209	NT16AB0802	----------	NT20ABA3174
NT08AB3210	NT16AB0803	----------	NT20ABA3173
NT08AB3211	----------	NT17AB0740	----------
NT08AB3212	NT16AB0770	NT17AB0706	NT20ABA3205
NT08AB3213	----------	----------	----------
NT08AB3214	NT16AB0769	NT17AB0705	NT20ABA3206
NT08AB3215	NT16AB0768	NT17AB0704	NT20ABA3207
NT08AB3216	NT16AB0767	NT17AB0703	NT20ABA3208
NT08AB3217	NT16AB0766	NT17AB0702	NT20ABA3209
NT08AB3218	NT16AB0765	NT17AB0701	NT20ABA3210
NT08AB3219	NT16AB0764	NT17AB0700	NT20ABA3211
NT08AB3220	NT16AB0763	NT17AB0699	NT20ABA3212
NT08AB3221	NT16AB0762	NT17AB0698	NT20ABA3213
NT08AB3222	NT16AB0761	NT17AB0697	NT20ABA3214
NT08AB3223	NT16AB0760	NT17AB0696	NT20ABA3215
NT08AB3224	NT16AB0759	NT17AB0695	NT20ABA3216
NT08AB3225	NT16AB0758	NT17AB0692	NT20ABA3218
NT08AB3226	NT16AB0757	NT17AB0694	NT20ABA3217
NT08AB3227	NT16AB0756	NT17AB0691	NT20ABA3219
NT08AB3228	----------	----------	----------
NT08AB3229	NT16AB0755	NT17AB0690	NT20ABA3220
NT08AB3230	NT16AB0754	NT17AB0689	NT20ABA3221
NT08AB3231	----------	----------	----------
NT08AB3232	----------	NT17AB0688	----------
NT08AB3233	NT16AB0752	NT17AB0687	NT20ABA3223
NT08AB3234	NT16AB0751	NT17AB0686	NT20ABA3225
NT08AB3235	NT16AB0750	----------	NT20ABA3226
NT08AB3236	NT16AB0749	----------	NT20ABA3227
NT08AB3237	NT16AB0748	----------	NT20ABA3228
NT08AB3238	NT16AB0747	----------	NT20ABA3229
NT08AB3239	NT16AB0746	----------	NT20ABA3230
NT08AB3240	NT16AB0745	----------	NT20ABA3231
NT08AB3241	NT16AB0744	NT17AB0683	NT20ABA3232
NT08AB3242	NT16AB0743	NT17AB0682	NT20ABA3233
NT08AB3243	NT16AB0742	NT17AB0681	NT20ABA3234
NT08AB3244	NT16AB0741	NT17AB0680	NT20ABA3235
NT08AB3245	NT16AB0740	NT17AB0679	NT20ABA3236
NT08AB3246	NT16AB0739	NT17AB0678	NT20ABA3237
NT08AB3247	NT16AB0738	----------	NT20ABA3238
NT08AB3248	NT16AB0737	NT17AB0677	NT20ABA3239
NT08AB3249	NT16AB0736	NT17AB0676	NT20ABA3240
NT08AB3250	NT16AB0735	----------	NT20ABA3241
NT08AB3251	----------	----------	----------
NT08AB3252	NT16AB0734	NT17AB0675	NT20ABA3242
NT08AB3254	NT16AB0732	----------	NT20ABA3324
NT08AB3255	NT16AB0731	NT17AB0663	NT20ABA3325
NT08AB3256	NT16AB0730	NT17AB0662	NT20ABA3326
NT08AB3257	NT16AB0729	NT17AB0661	NT20ABA3327
NT08AB3258	NT16AB0728	NT17AB0660	NT20ABA3328
NT08AB3259	NT16AB0727	NT17AB0659	NT20ABA3329
NT08AB3260	NT16AB0726	NT17AB0658	NT20ABA3330
NT08AB3261	NT16AB0725	NT17AB0655	NT20ABA3332
NT08AB3262	NT16AB0724	NT17AB0654	NT20ABA3333
NT08AB3263	NT16AB0723	NT17AB0653	NT20ABA3334
NT08AB3264	NT16AB0722	NT17AB0652	NT20ABA3335
NT08AB3265	NT16AB0721	NT17AB0651	NT20ABA3336
NT08AB3266	NT16AB0720	----------	NT20ABA3337
NT08AB3267	NT16AB0719	NT17AB0650	NT20ABA3338
NT08AB3268	NT16AB0718	NT17AB0649	NT20ABA3339
NT08AB3269	NT16AB0717	----------	NT20ABA3340
NT08AB3270	NT16AB0716	NT17AB0648	NT20ABA3341
NT08AB3271	NT16AB0715	NT17AB0647	NT20ABA3342
NT08AB3272	NT16AB0714	NT17AB0646	NT20ABA3343
NT08AB3273	NT16AB0713	NT17AB0645	NT20ABA3344
NT08AB3274	NT16AB0712	NT17AB0644	NT20ABA3345
NT08AB3275	NT16AB0711	NT17AB0643	NT20ABA3346
NT08AB3276	NT16AB0710	NT17AB0642	NT20ABA3347
NT08AB3277	NT16AB0709	NT17AB0641	NT20ABA3348
NT08AB3278	NT16AB0708	NT17AB0640	NT20ABA3349
NT08AB3279	----------	----------	----------
NT08AB3280	NT16AB0707	NT17AB0639	NT20ABA3350
NT08AB3281	NT16AB0706	NT17AB0638	NT20ABA3351
NT08AB3282	NT16AB0705	NT17AB0637	NT20ABA3352
NT08AB3283	NT16AB0704	NT17AB0635	NT20ABA3353
NT08AB3284	NT16AB0703	----------	NT20ABA3354
NT08AB3285	NT16AB0702	NT17AB0634	NT20ABA3355
NT08AB3286	NT16AB0701	NT17AB0630	NT20ABA3356
NT08AB3287	NT16AB0700	NT17AB0629	NT20ABA3357
NT08AB3288	NT16AB0699	NT17AB0628	NT20ABA3358
NT08AB3289	NT16AB0698	NT17AB0627	NT20ABA3359
NT08AB3290	NT16AB0697	NT17AB0626	NT20ABA3360
NT08AB3291	NT16AB0696	NT17AB0625	NT20ABA3361
NT08AB3298	NT16AB0689	NT17AB0620	NT20ABA3368
NT08AB3299	NT16AB0688	----------	NT20ABA3369
NT08AB3300	NT16AB0687	NT17AB0617	NT20ABA3370
NT08AB3301	NT16AB0686	NT17AB0616	NT20ABA3371
NT08AB3302	NT16AB0685	NT17AB0615	NT20ABA3372
NT08AB3303	NT16AB0682	NT17AB0614	NT20ABA3375
NT08AB3304	NT16AB0681	NT17AB0611	NT20ABA3376
NT08AB3305	NT16AB0680	NT17AB0609	NT20ABA3377
NT08AB3306	NT16AB0679	NT17AB0608	NT20ABA3378
NT08AB3307	NT16AB0678	NT17AB0607	NT20ABA3379
NT08AB3308	NT16AB0677	NT17AB0606	NT20ABA3380
NT08AB3309	NT16AB0676	NT17AB0605	NT20ABA3381
NT08AB3310	NT16AB0675	NT17AB0603	NT20ABA3382
NT08AB3311	NT16AB0674	NT17AB0602	NT20ABA3383
NT08AB3312	NT16AB0673	NT17AB0601	NT20ABA3384
NT08AB3313	NT16AB0672	NT17AB0600	NT20ABA3385
NT08AB3314	NT16AB0671	NT17AB0599	NT20ABA3386
NT08AB3315	NT16AB0670	NT17AB0598	NT20ABA3387
NT08AB3316	NT16AB0669	NT17AB0597	NT20ABA3388
NT08AB3317	NT16AB0668	NT17AB0596	NT20ABA3389
NT08AB3318	NT16AB0667	NT17AB0593	NT20ABA3390
NT08AB3319	NT16AB0666	NT17AB0592	NT20ABA3391
NT08AB3320	NT16AB0665	NT17AB0591	NT20ABA3392
NT08AB3321	NT16AB0664	NT17AB0590	NT20ABA3393
NT08AB3322	NT16AB0663	NT17AB0588	NT20ABA3394
NT08AB3323	NT16AB0662	NT17AB0587	NT20ABA3395
NT08AB3324	NT16AB0661	NT17AB0586	NT20ABA3397
NT08AB3325	NT16AB0660	NT17AB0585	NT20ABA3398
NT08AB3326	NT16AB0659	NT17AB0584	NT20ABA3399
NT08AB3327	NT16AB0658	NT17AB0583	NT20ABA3400
NT08AB3328	NT16AB0657	NT17AB0582	NT20ABA3401
NT08AB3329	NT16AB0656	NT17AB0581	NT20ABA3402
NT08AB3330	NT16AB0655	NT17AB0580	NT20ABA3404
NT08AB3331	NT16AB0654	NT17AB0579	NT20ABA3405
NT08AB3332	NT16AB0653	NT17AB0577	NT20ABA3406
NT08AB3333	NT16AB0652	----------	NT20ABA3407
NT08AB3334	NT16AB0651	NT17AB0576	NT20ABA3408
NT08AB3335	NT16AB0650	NT17AB0574	NT20ABA3409
NT08AB3336	NT16AB0649	NT17AB0573	NT20ABA3410
NT08AB3337	NT16AB0648	----------	NT20ABA3411
NT08AB3338	NT16AB0647	NT17AB0570	NT20ABA3412
NT08AB3339	NT16AB0646	NT17AB0569	NT20ABA3413
NT08AB3340	NT16AB0645	NT17AB0568	NT20ABA3414
NT08AB3341	NT16AB0644	NT17AB0567	NT20ABA3415
NT08AB3342	----------	----------	----------
NT08AB3343	NT16AB0643	----------	NT20ABA3416
NT08AB3344	NT16AB0642	NT17AB0566	NT20ABA3417
NT08AB3345	NT16AB0641	NT17AB0565	NT20ABA3418
NT08AB3346	NT16AB0640	NT17AB0563	NT20ABA3419
NT08AB3347	NT16AB0639	NT17AB0562	NT20ABA3420
NT08AB3348	----------	----------	----------
NT08AB3349	NT16AB0638	NT17AB0561	NT20ABA3421
NT08AB3350	NT16AB0637	NT17AB0560	NT20ABA3422
NT08AB3351	NT16AB0636	NT17AB0559	NT20ABA3423
NT08AB3352	NT16AB0635	NT17AB0558	NT20ABA3424
NT08AB3353	NT16AB0634	NT17AB0557	NT20ABA3426
NT08AB3354	NT16AB0633	NT17AB0556	NT20ABA3427
NT08AB3355	NT16AB0632	NT17AB0555	NT20ABA3428
NT08AB3356	NT16AB0631	NT17AB0554	NT20ABA3429
NT08AB3357	NT16AB0630	NT17AB0553	NT20ABA3430
NT08AB3358	NT16AB0629	NT17AB0551	NT20ABA3431
NT08AB3359	NT16AB0628	NT17AB0550	NT20ABA3432
NT08AB3360	NT16AB0627	NT17AB0549	NT20ABA3433
NT08AB3361	NT16AB0626	NT17AB0548	NT20ABA3434
NT08AB3362	----------	----------	----------
NT08AB3363	NT16AB0625	NT17AB0547	NT20ABA3435
NT08AB3364	NT16AB0624	NT17AB0546	NT20ABA3436
NT08AB3365	NT16AB0623	NT17AB0545	NT20ABA3437
NT08AB3366	NT16AB0622	NT17AB0544	NT20ABA3438
NT08AB3367	NT16AB0621	NT17AB0543	NT20ABA3439
NT08AB3368	NT16AB0620	NT17AB0542	NT20ABA3441
NT08AB3369	NT16AB0619	NT17AB0541	NT20ABA3442
NT08AB3370	NT16AB0618	NT17AB0539	NT20ABA3443
NT08AB3371	NT16AB0617	NT17AB0538	NT20ABA3444
NT08AB3373	NT16AB0615	NT17AB0535	NT20ABA3446
NT08AB3374	NT16AB0614	NT17AB0533	NT20ABA3447
NT08AB3375	NT16AB0613	NT17AB0532	NT20ABA3448
NT08AB3376	NT16AB0612	NT17AB0529	NT20ABA3449
NT08AB3377	NT16AB0611	NT17AB0528	NT20ABA3450
NT08AB3378	NT16AB0610	NT17AB0527	NT20ABA3451
NT08AB3379	NT16AB0609	NT17AB0526	NT20ABA3452
NT08AB3380	NT16AB0608	NT17AB0525	NT20ABA3453
NT08AB3381	----------	----------	----------
NT08AB3382	NT16AB0607	NT17AB0524	NT20ABA3454
NT08AB3383	NT16AB0606	NT17AB0523	NT20ABA3455
NT08AB3384	NT16AB0605	NT17AB0522	NT20ABA3456
NT08AB3385	NT16AB0604	NT17AB0519	NT20ABA3457
NT08AB3386	NT16AB0603	NT17AB0518	NT20ABA3458
NT08AB3387	NT16AB0602	NT17AB0517	NT20ABA3459
NT08AB3388	NT16AB0601	NT17AB0516	NT20ABA3460
NT08AB3389	NT16AB0600	NT17AB0515	NT20ABA3461
NT08AB3390	NT16AB0599	NT17AB0514	NT20ABA3462
NT08AB3391	NT16AB0598	NT17AB0513	NT20ABA3463
NT08AB3392	NT16AB0596	NT17AB0509	NT20ABA3464
NT08AB3393	----------	----------	----------
NT08AB3394	----------	NT17AB0065	----------
NT08AB3395	NT16AB0594	NT17AB0507	NT20ABA3467
NT08AB3396	NT16AB0593	NT17AB0506	NT20ABA3469
NT08AB3397	NT16AB0592	NT17AB0505	NT20ABA3468
NT08AB3398	NT16AB0591	NT17AB0504	NT20ABA3470
NT08AB3399	NT16AB0590	NT17AB0503	NT20ABA3471
NT08AB3400	NT16AB0589	NT17AB0502	NT20ABA3472
NT08AB3401	NT16AB0588	NT17AB0501	NT20ABA3473
NT08AB3402	NT16AB0587	NT17AB0500	NT20ABA3474
NT08AB3403	NT16AB0586	NT17AB0499	NT20ABA3475
NT08AB3404	NT16AB0585	NT17AB0498	NT20ABA3476
NT08AB3405	NT16AB0555	----------	----------
NT08AB3406	----------	----------	----------
NT08AB3407	----------	----------	----------
NT08AB3408	----------	----------	----------
NT08AB3409	----------	----------	----------
NT08AB3410	----------	----------	----------
NT08AB3411	NT16ABA0012	NT17AB0673	NT20ABA3244
NT08AB3413	NT16AB0542	NT17AB0495	NT20ABA3478
NT08AB3414	NT16AB0541	NT17AB0494	NT20ABA3479
NT08AB3415	NT16AB0540	----------	NT20ABA3480
NT08AB3416	NT16AB0539	NT17AB0492	NT20ABA3481
NT08AB3417	NT16AB0538	NT17AB0491	NT20ABA3482
NT08AB3418	NT16AB0537	NT17AB0490	NT20ABA3483
NT08AB3419	----------	----------	----------
NT08AB3420	NT16AB0536	NT17AB0489	NT20ABA3484
NT08AB3421	NT16AB0535	NT17AB0488	NT20ABA3485
NT08AB3422	NT16AB0534	NT17AB0487	NT20ABA3486
NT08AB3423	NT16AB0533	NT17AB0486	NT20ABA3487
NT08AB3424	NT16AB0532	NT17AB0485	NT20ABA3488
NT08AB3425	NT16AB0531	NT17AB0484	NT20ABA3489
NT08AB3426	NT16AB0530	NT17AB0483	NT20ABA3490
NT08AB3427	NT16AB0529	NT17AB0482	NT20ABA3491
NT08AB3428	NT16AB0528	NT17AB0481	NT20ABA3492
NT08AB3429	NT16AB0527	NT17AB0480	NT20ABA3493
NT08AB3430	NT16AB0526	NT17AB0479	NT20ABA3494
NT08AB3431	----------	----------	----------
NT08AB3432	----------	NT17AB2422	----------
NT08AB3433	----------	NT17ABB0019	----------
NT08AB3434	----------	----------	----------
NT08AB3435	----------	----------	----------
NT08AB3436	NT16AB3597	----------	NT20ABA0258
NT08AB3437	----------	----------	----------
NT08AB3438	----------	----------	----------
NT08AB3439	----------	----------	----------
NT08AB3440	----------	----------	----------
NT08AB3441	----------	----------	----------
NT08AB3442	----------	----------	----------
NT08AB3443	----------	----------	----------
NT08AB3444	----------	----------	----------
NT08AB3445	NT16AB3166	----------	NT20ABA0684
NT08AB3446	NT16AB3167	----------	NT20ABA0683
NT08AB3447	NT16AB3168	----------	NT20ABA0682
NT08AB3448	NT16AB3169	----------	NT20ABA0681
NT08AB3449	NT16AB3170	----------	NT20ABA0680
NT08AB3450	NT16AB3171	----------	NT20ABA0679
NT08AB3451	NT16AB3172	----------	NT20ABA0678
NT08AB3452	NT16AB3173	----------	NT20ABA0677
NT08AB3453	NT16AB3174	----------	NT20ABA0676
NT08AB3454	NT16AB3175	----------	NT20ABA0675
NT08AB3455	----------	----------	----------
NT08AB3456	----------	----------	----------
NT08AB3457	NT16AB3179	----------	NT20ABA0671
NT08AB3458	NT16AB3180	----------	NT20ABA0670
NT08AB3459	----------	----------	----------
NT08AB3460	----------	----------	NT20ABA0668
NT08AB3461	----------	----------	----------
NT08AB3462	NT16AB3183	----------	NT20ABA0666
NT08AB3463	----------	----------	----------
NT08AB3464	----------	----------	----------
NT08AB3465	----------	----------	----------
NT08AB3466	----------	----------	----------
NT08AB3467	----------	----------	----------
NT08AB3468	----------	----------	----------
NT08AB3469	NT16AB3184	----------	NT20ABA0665
NT08AB3470	----------	----------	----------
NT08AB3471	NT16AB0525	NT17AB0478	NT20ABA3495
NT08AB3472	NT16AB0524	NT17AB0477	NT20ABA3496
NT08AB3473	----------	----------	----------
NT08AB3474	NT16AB0523	NT17AB0475	NT20ABA3497
NT08AB3475	NT16AB0522	NT17AB0474	NT20ABA3498
NT08AB3476	NT16AB0519	NT17AB0473	NT20ABA3499
NT08AB3477	NT16AB0518	NT17AB0471	NT20ABA3500
NT08AB3478	NT16AB0517	NT17AB0470	NT20ABA3501
NT08AB3484	NT16AB3794	----------	NT20ABA0055
NT08AB3485	NT16AB3795	----------	NT20ABA0054
NT08AB3486	NT16AB3796	----------	NT20ABA0053
NT08AB3487	NT16AB3797	----------	NT20ABA0052
NT08AB3488	NT16AB3798	----------	NT20ABA0051
NT08AB3489	NT16AB3799	----------	NT20ABA0050
NT08AB3490	NT16AB3800	----------	NT20ABA0049
NT08AB3491	NT16AB3801	----------	NT20ABA0048
NT08AB3492	NT16AB3802	----------	NT20ABA0047
NT08AB3493	NT16AB3803	----------	NT20ABA0046
NT08AB3494	----------	----------	----------
NT08AB3495	NT16AB3804	----------	NT20ABA0045
NT08AB3496	NT16AB3805	NT17AB3432	NT20ABA0044
NT08AB3497	NT16AB3806	NT17AB3433	NT20ABA0043
NT08AB3498	NT16AB3807	NT17AB3434	NT20ABA0042
NT08AB3499	NT16AB3808	NT17AB3436	NT20ABA0041
NT08AB3500	NT16AB3809	----------	----------
NT08AB3501	NT16AB3810	NT17AB3437	NT20ABA0040
NT08AB3502	----------	----------	----------
NT08AB3503	NT16AB3811	NT17AB3438	NT20ABA0039
NT08AB3504	NT16AB3812	NT17AB3439	NT20ABA0038
NT08AB3505	NT16AB3813	NT17AB3440	NT20ABA0037
NT08AB3506	NT16AB3814	----------	NT20ABA0036
NT08AB3507	NT16AB3815	NT17AB3442	NT20ABA0035
NT08AB3508	NT16AB3816	NT17AB3443	NT20ABA0034
NT08AB3509	NT16AB3817	NT17AB3444	NT20ABA0033
NT08AB3510	----------	----------	----------
NT08AB3511	NT16AB3819	NT17AB3445	NT20ABA0031
NT08AB3512	NT16AB3820	NT17AB3446	NT20ABA0030
NT08AB3513	NT16AB3821	NT17AB3447	NT20ABA0029
NT08AB3514	NT16AB3829	NT17AB3448	NT20ABA0028
NT08AB3515	NT16AB3830	NT17AB3449	NT20ABA0027
NT08AB3516	NT16AB3831	NT17AB3450	NT20ABA0026
NT08AB3517	----------	----------	----------
NT08AB3518	NT16AB3832	NT17AB3451	NT20ABA0024
NT08AB3519	NT16AB3833	----------	NT20ABA0023
NT08AB3520	NT16AB3834	NT17AB3452	NT20ABA0022
NT08AB3521	NT16AB3835	NT17AB3453	NT20ABA0021
NT08AB3522	NT16AB0511	NT17AB2668	NT20ABA3507
NT08AB3523	NT16AB0510	NT17AB2670	NT20ABA3508
NT08AB3524	NT16AB0509	NT17AB2672	NT20ABA3509
NT08AB3525	NT16AB0508	NT17AB2673	NT20ABA3510
NT08AB3526	----------	----------	----------
NT08AB3527	NT16AB0507	NT17AB2674	NT20ABA3511
NT08AB3528	NT16AB0506	NT17AB2675	NT20ABA3512
NT08AB3529	NT16AB0505	NT17AB2676	NT20ABA3513
NT08AB3530	NT16AB0504	NT17AB2677	NT20ABA3514
NT08AB3531	NT16AB0503	NT17AB2678	NT20ABA3515
NT08AB3532	NT16AB0502	NT17AB2679	NT20ABA3516
NT08AB3533	NT16AB0501	NT17AB2680	NT20ABA3517
NT08AB3534	NT16AB0500	NT17AB2681	NT20ABA3518
NT08AB3535	NT16AB0499	NT17AB2682	NT20ABA3519
NT08AB3536	NT16AB0498	NT17AB2683	NT20ABA3520
NT08AB3537	NT16AB0497	NT17AB2684	NT20ABA3521
NT08AB3538	NT16AB0496	NT17AB2685	NT20ABA3522
NT08AB3539	NT16AB0495	NT17AB2686	NT20ABA3523
NT08AB3540	NT16AB0494	NT17AB2687	NT20ABA3524
NT08AB3541	NT16AB0493	NT17AB2688	NT20ABA3525
NT08AB3542	NT16AB0492	NT17AB2689	NT20ABA3526
NT08AB3543	NT16AB0491	NT17AB2690	NT20ABA3527
NT08AB3544	NT16AB0490	NT17AB2691	NT20ABA3528
NT08AB3545	NT16AB0489	NT17AB2692	NT20ABA3529
NT08AB3546	NT16AB0488	NT17AB2693	NT20ABA3530
NT08AB3547	----------	----------	NT20ABA3531
NT08AB3548	NT16AB0487	NT17AB2694	NT20ABA3532
NT08AB3549	NT16AB0486	NT17AB2695	NT20ABA3533
NT08AB3550	NT16AB0485	NT17AB2696	NT20ABA3534
NT08AB3551	NT16AB0484	NT17AB2697	NT20ABA3535
NT08AB3557	NT16AB0478	NT17AB0463	NT20ABA3541
NT08AB3558	NT16AB0477	NT17AB0462	NT20ABA3542
NT08AB3559	NT16AB0476	NT17AB0461	NT20ABA3543
NT08AB3560	NT16AB0475	NT17AB0460	NT20ABA3544
NT08AB3561	NT16AB0474	NT17AB0459	NT20ABA3545
NT08AB3562	NT16AB0473	NT17AB0458	NT20ABA3546
NT08AB3563	NT16AB0472	NT17AB0457	NT20ABA3547
NT08AB3564	NT16AB0471	NT17AB0456	NT20ABA3548
NT08AB3565	NT16AB0470	NT17AB0455	NT20ABA3549
NT08AB3566	----------	----------	----------
NT08AB3567	NT16AB0469	NT17AB0454	NT20ABA3550
NT08AB3568	NT16AB0468	NT17AB0453	NT20ABA3551
NT08AB3569	NT16AB0467	NT17AB0452	NT20ABA3552
NT08AB3570	NT16AB0466	NT17AB0450	NT20ABA3553
NT08AB3571	NT16AB0465	NT17AB0448	NT20ABA3554
NT08AB3572	NT16AB0464	NT17AB0447	NT20ABA3555
NT08AB3573	NT16AB0463	NT17AB0446	NT20ABA3556
NT08AB3574	NT16AB0462	NT17AB0445	NT20ABA3557
NT08AB3575	NT16AB0461	NT17AB0444	NT20ABA3558
NT08AB3576	NT16AB0460	NT17AB0443	NT20ABA3559
NT08AB3577	NT16AB0459	NT17AB0442	NT20ABA3560
NT08AB3578	NT16AB0458	NT17AB0441	NT20ABA3561
NT08AB3579	NT16AB0457	NT17AB0440	NT20ABA3562
NT08AB3580	NT16AB0456	----------	NT20ABA3563
NT08AB3582	NT16AB0454	----------	NT20ABA3565
NT08AB3583	NT16AB0453	----------	NT20ABA3566
NT08AB3587	NT16AB0449	NT17AB0435	NT20ABA3570
NT08AB3588	----------	----------	----------
NT08AB3589	NT16AB0448	NT17AB0434	NT20ABA3571
NT08AB3590	NT16AB0447	NT17AB0433	NT20ABA3572
NT08AB3591	NT16AB0446	NT17AB0432	NT20ABA3573
NT08AB3592	NT16AB0445	NT17AB0431	NT20ABA3574
NT08AB3593	NT16AB0444	NT17AB0430	NT20ABA3575
NT08AB3594	NT16AB0443	NT17AB0429	NT20ABA3576
NT08AB3595	NT16AB0442	----------	NT20ABA3577
NT08AB3596	NT16AB0441	NT17AB0428	NT20ABA3578
NT08AB3597	NT16AB0440	NT17AB0427	NT20ABA3579
NT08AB3598	NT16AB0439	NT17AB0426	NT20ABA3580
NT08AB3599	NT16AB0438	NT17AB0425	NT20ABA3581
NT08AB3600	NT16AB0437	NT17AB0424	NT20ABA3582
NT08AB3601	NT16AB0436	NT17AB0423	NT20ABA3583
NT08AB3602	NT16AB0435	NT17AB0422	NT20ABA3584
NT08AB3603	NT16AB0434	NT17AB0421	NT20ABA3585
NT08AB3604	NT16AB0433	NT17AB0420	NT20ABA3586
NT08AB3605	NT16AB0432	NT17AB0419	NT20ABA3587
NT08AB3606	NT16AB0431	NT17AB0418	NT20ABA3588
NT08AB3607	NT16AB0430	----------	NT20ABA3589
NT08AB3608	NT16AB0429	NT17AB0417	NT20ABA3590
NT08AB3609	NT16AB0428	NT17AB0416	NT20ABA3591
NT08AB3610	NT16AB0427	NT17AB0415	NT20ABA3592
NT08AB3611	NT16AB0426	NT17AB0414	NT20ABA3593
NT08AB3612	NT16AB0425	NT17AB0413	NT20ABA3594
NT08AB3613	NT16AB0424	NT17AB0412	NT20ABA3595
NT08AB3614	NT16AB0423	NT17AB0411	NT20ABA3596
