NT08AB0001	NT16AB0001 (99.78%)	NT17AB0001 (99.26%)	NT20ABA0020 (99.78%)
NT08AB2460	NT16AB1514 (99.19%)	NT17AB2075 (99.19%)	NT20ABA2421 (99.19%)
NT08AB2461	NT16AB1513 (96.62%)	NT17AB2076 (94.87%)	NT20ABA2422 (95.30%)
NT08AB2462	NT16AB1512 (98.58%)	NT17AB2077 (95.51%)	NT20ABA2423 (98.58%)
NT08AB2463	NT16AB1511 (98.96%)	NT17AB2078 (98.34%)	NT20ABA2424 (98.96%)
NT08AB2464	NT16AB1510 (99.28%)	NT17AB2079 (98.57%)	NT20ABA2425 (99.28%)
NT08AB2465	NT16AB1509 (99.65%)	NT17AB2080 (99.65%)	NT20ABA2426 (99.65%)
NT08AB2466	NT16AB1508 (99.78%)	NT17AB2081 (99.35%)	NT20ABA2427 (99.78%)
NT08AB2467	NT16AB1507 (100.00%)	NT17AB2083 (100.00%)	NT20ABA2428 (100.00%)
NT08AB2468	NT16AB1506 (97.77%)	NT17AB2084 (96.83%)	NT20ABA2430 (98.34%)
NT08AB2469	NT16AB1505 (100.00%)	NT17AB2085 (100.00%)	NT20ABA2429 (100.00%)
NT08AB2470	NT16AB1504 (99.09%)	NT17AB2086 (99.09%)	NT20ABA2431 (99.09%)
NT08AB2471	NT16AB1503 (100.00%)	NT17AB2087 (98.94%)	NT20ABA2432 (100.00%)
NT08AB2472	NT16AB1502 (100.00%)	NT17AB2088 (99.36%)	NT20ABA2433 (100.00%)
NT08AB2473	NT16AB1501 (99.49%)	NT17AB2089 (98.20%)	NT20ABA2434 (99.49%)
NT08AB2474	NT16AB1500 (99.58%)	NT17AB2090 (98.74%)	NT20ABA2435 (99.58%)
NT08AB2475	NT16AB1499 (98.45%)	NT17AB2091 (98.47%)	NT20ABA2436 (98.53%)
NT08AB2476	NT16AB1498 (100.00%)		NT20ABA2437 (100.00%)
NT08AB2477	NT16AB1497 (100.00%)		NT20ABA2438 (100.00%)
NT08AB2478	NT16AB1496 (100.00%)	NT17AB2095 (96.88%)	NT20ABA2439 (100.00%)
NT08AB2479	NT16AB1495 (100.00%)		NT20ABA2440 (100.00%)
NT08AB2480	NT16AB1494 (98.10%)		NT20ABA2441 (97.91%)
NT08AB2481	NT16AB1493 (97.87%)		NT20ABA2442 (97.87%)
NT08AB2482	NT16AB1491 (100.00%)		NT20ABA2444 (100.00%)
NT08AB2483	NT16AB1490 (99.43%)		NT20ABA2445 (99.43%)
NT08AB2484	NT16AB1489 (97.78%)		NT20ABA2446 (97.78%)
NT08AB2485			
NT08AB2486	NT16AB1488 (98.21%)		NT20ABA2447 (98.21%)
NT08AB2487	NT16AB1487 (93.33%)	NT17AB2311 (35.11%)	NT20ABA2448 (89.47%)
NT08AB2488	NT16AB1486 (100.00%)		NT20ABA2449 (100.00%)
NT08AB2489	NT16AB1485 (98.72%)		NT20ABA2450 (98.72%)
NT08AB2490	NT16AB1484 (100.00%)	NT17AB1558 (97.30%)	NT20ABA2451 (100.00%)
NT08AB2491	NT16AB1483 (100.00%)	NT17AB1559 (98.96%)	NT20ABA2452 (100.00%)
NT08AB2492	NT16AB1482 (97.03%)		NT20ABA2453 (97.03%)
NT08AB2493			
NT08AB2494	NT16AB1481 (98.91%)		NT20ABA2454 (98.91%)
NT08AB2495	NT16AB1477 (99.11%)		NT20ABA2458 (99.11%)
NT08AB2496	NT16AB1476 (100.00%)	NT17AB1450 (98.90%)	NT20ABA2459 (100.00%)
NT08AB2497	NT16AB1475 (98.38%)	NT17AB1449 (99.39%)	NT20ABA2461 (97.83%)
NT08AB2498	NT16AB1474 (97.36%)		NT20ABA2462 (97.36%)
NT08AB2499	NT16AB1473 (99.60%)	NT17AB1447 (99.27%)	NT20ABA2463 (99.60%)
NT08AB2500	NT16AB1472 (98.25%)	NT17AB1446 (99.18%)	NT20ABA2464 (98.25%)
NT08AB2501	NT16AB1471 (100.00%)		NT20ABA2465 (100.00%)
NT08AB2502	NT16AB1470 (99.63%)		NT20ABA2466 (99.63%)
NT08AB2503	NT16AB1469 (99.15%)		NT20ABA2467 (99.15%)
NT08AB2504	NT16AB1468 (99.32%)		NT20ABA2468 (99.32%)
NT08AB2505	NT16AB1467 (99.42%)	NT17AB1555 (98.50%)	NT20ABA2469 (99.42%)
NT08AB2506	NT16AB1466 (98.82%)	NT17AB1553 (97.65%)	NT20ABA2470 (98.82%)
NT08AB2507	NT16AB1465 (98.96%)	NT17AB1552 (98.96%)	NT20ABA2471 (98.96%)
NT08AB2508	NT16AB1464 (99.27%)	NT17AB1551 (97.45%)	NT20ABA2472 (99.27%)
NT08AB2509	NT16AB1463 (98.32%)	NT17AB1550 (98.32%)	NT20ABA2473 (98.32%)
NT08AB2510	NT16AB1462 (99.82%)	NT17AB1549 (99.47%)	NT20ABA2474 (99.82%)
NT08AB2511	NT16AB1461 (100.00%)	NT17AB1548 (100.00%)	NT20ABA2475 (100.00%)
NT08AB2512	NT16AB1459 (96.17%)	NT17AB1546 (96.17%)	NT20ABA2476 (96.17%)
NT08AB2513	NT16AB1460 (99.75%)	NT17AB1547 (98.44%)	NT20ABA2478 (99.75%)
NT08AB2514			
NT08AB2515	NT16AB1458 (99.80%)	NT17AB1545 (99.80%)	NT20ABA2479 (99.80%)
NT08AB2516	NT16AB1457 (99.58%)	NT17AB1544 (99.16%)	NT20ABA2480 (99.58%)
NT08AB2517	NT16AB1456 (98.92%)	NT17AB1543 (98.92%)	NT20ABA2481 (98.92%)
NT08AB2518			
NT08AB2519	NT16AB1455 (98.86%)	NT17AB1541 (98.50%)	NT20ABA2482 (98.86%)
NT08AB2520	NT16AB1454 (99.58%)	NT17AB1540 (99.58%)	NT20ABA2483 (99.58%)
NT08AB2521	NT16AB1452 (99.83%)	NT17AB1537 (99.65%)	NT20ABA2485 (99.83%)
NT08AB2522	NT16AB1451 (100.00%)	NT17AB1536 (100.00%)	NT20ABA2486 (100.00%)
NT08AB2523	NT16AB1450 (98.33%)	NT17AB1535 (97.91%)	NT20ABA2487 (98.33%)
NT08AB2524	NT16AB1449 (98.46%)		NT20ABA2488 (98.46%)
NT08AB2525	NT16AB1448 (99.08%)		NT20ABA2489 (99.08%)
NT08AB2526			
NT08AB2527	NT16AB1447 (96.02%)	NT17AB1532 (97.62%)	NT20ABA2490 (96.02%)
NT08AB2528	NT16AB1446 (100.00%)	NT17AB1531 (99.41%)	NT20ABA2491 (100.00%)
NT08AB2529	NT16AB1445 (100.00%)	NT17AB1530 (99.36%)	NT20ABA2492 (100.00%)
NT08AB2530	NT16AB1444 (96.24%)	NT17AB1529 (98.36%)	NT20ABA2493 (96.24%)
NT08AB2531			
NT08AB2532	NT16AB1443 (99.34%)	NT17AB1528 (100.00%)	NT20ABA2494 (99.34%)
NT08AB2533	NT16AB1442 (98.68%)	NT17AB1527 (98.63%)	NT20ABA2495 (98.68%)
NT08AB2534	NT16AB1441 (100.00%)	NT17AB1526 (99.02%)	NT20ABA2496 (100.00%)
NT08AB2535	NT16AB1440 (99.15%)	NT17AB1525 (97.01%)	NT20ABA2498 (99.15%)
NT08AB2536	NT16AB1439 (99.32%)	NT17AB1524 (99.32%)	NT20ABA2497 (99.32%)
NT08AB2537	NT16AB1438 (100.00%)	NT17AB1523 (98.61%)	NT20ABA2499 (100.00%)
NT08AB2538	NT16AB1436 (98.67%)	NT17AB1522 (99.33%)	NT20ABA2500 (98.00%)
NT08AB2539	NT16AB1435 (99.67%)	NT17AB1521 (99.35%)	NT20ABA2501 (99.67%)
NT08AB2540	NT16AB1434 (98.48%)	NT17AB1520 (98.26%)	NT20ABA2502 (98.48%)
NT08AB2541	NT16AB1433 (100.00%)		NT20ABA2503 (100.00%)
NT08AB2542	NT16AB1432 (99.74%)		NT20ABA2504 (99.74%)
NT08AB2543	NT16AB1431 (99.39%)		NT20ABA2505 (99.39%)
NT08AB2544	NT16AB1430 (98.61%)		NT20ABA2506 (98.61%)
NT08AB2545			
NT08AB2546			
NT08AB2547	NT16AB1429 (100.00%)	NT17AB1515 (100.00%)	NT20ABA2507 (100.00%)
NT08AB2548	NT16AB1428 (99.16%)	NT17AB1514 (99.16%)	NT20ABA2508 (99.16%)
NT08AB2549	NT16AB1427 (99.74%)	NT17AB1513 (99.74%)	NT20ABA2509 (99.83%)
NT08AB2550			
NT08AB2551	NT16AB1426 (99.78%)	NT17AB1512 (99.89%)	NT20ABA2510 (99.78%)
NT08AB2552	NT16AB1425 (98.70%)	NT17AB1511 (99.22%)	NT20ABA2511 (98.96%)
NT08AB2553	NT16AB1424 (100.00%)	NT17AB1510 (100.00%)	NT20ABA2512 (100.00%)
NT08AB2554	NT16AB1423 (99.45%)	NT17AB1509 (99.45%)	NT20ABA2513 (99.45%)
NT08AB2555	NT16AB1422 (95.99%)	NT17AB1507 (97.71%)	NT20ABA2514 (95.99%)
NT08AB2556	NT16AB1421 (97.06%)	NT17AB1506 (98.32%)	NT20ABA2515 (97.48%)
NT08AB2557	NT16AB1420 (98.19%)	NT17AB1505 (97.06%)	NT20ABA2516 (98.19%)
NT08AB2558	NT16AB1419 (93.53%)	NT17AB1504 (91.04%)	NT20ABA2517 (93.53%)
NT08AB2559	NT16AB1418 (98.52%)	NT17AB1503 (97.93%)	NT20ABA2518 (98.52%)
NT08AB2560			
NT08AB2561	NT16AB1417 (97.00%)	NT17AB1502 (95.13%)	NT20ABA2519 (97.00%)
NT08AB2562	NT16AB1416 (94.48%)	NT17AB1501 (97.24%)	NT20ABA2520 (94.48%)
NT08AB2563	NT16AB1415 (97.62%)	NT17AB1500 (96.83%)	NT20ABA2521 (97.62%)
NT08AB2564	NT16AB1414 (99.07%)	NT17AB1499 (99.07%)	NT20ABA2522 (99.07%)
NT08AB2565	NT16AB1413 (100.00%)	NT17AB1498 (99.61%)	NT20ABA2523 (100.00%)
NT08AB2566	NT16AB1412 (99.48%)	NT17AB1497 (98.96%)	NT20ABA2524 (99.48%)
NT08AB2567	NT16AB1411 (99.82%)	NT17AB1496 (98.35%)	NT20ABA2525 (99.82%)
NT08AB2568	NT16AB1410 (99.74%)	NT17AB1495 (100.00%)	NT20ABA2526 (99.74%)
NT08AB2569			
NT08AB2570	NT16AB1409 (100.00%)	NT17AB1494 (98.83%)	NT20ABA2527 (100.00%)
NT08AB2571			
NT08AB2572	NT16AB1408 (96.48%)	NT17AB1493 (97.34%)	NT20ABA2528 (96.48%)
NT08AB2573	NT16AB1405 (98.13%)	NT17AB1492 (97.44%)	NT20ABA2532 (98.13%)
NT08AB2574	NT16AB1404 (99.72%)	NT17AB1491 (100.00%)	NT20ABA2533 (99.72%)
NT08AB2575	NT16AB1403 (97.79%)	NT17AB1490 (97.79%)	NT20ABA2534 (97.79%)
NT08AB2576	NT16AB1402 (99.00%)	NT17AB1488 (98.68%)	NT20ABA2535 (99.00%)
NT08AB2577	NT16AB1401 (98.57%)	NT17AB1487 (59.40%)	NT20ABA2536 (98.57%)
NT08AB2578	NT16AB1400 (100.00%)	NT17AB1486 (93.10%)	NT20ABA2537 (100.00%)
NT08AB2579	NT16AB1399 (99.40%)		NT20ABA2538 (99.07%)
NT08AB2580	NT16AB1398 (98.40%)		NT20ABA2539 (98.40%)
NT08AB2581	NT16AB1397 (99.35%)		NT20ABA2540 (99.35%)
NT08AB2582	NT16AB1396 (99.52%)		NT20ABA2541 (99.52%)
NT08AB2583	NT16AB1395 (98.69%)		NT20ABA2542 (98.69%)
NT08AB2584	NT16AB1394 (99.25%)		NT20ABA2544 (98.32%)
NT08AB2585	NT16AB1393 (100.00%)	NT17AB1483 (100.00%)	NT20ABA2545 (100.00%)
NT08AB2586	NT16AB1392 (100.00%)	NT17AB1482 (99.75%)	NT20ABA2546 (99.87%)
NT08AB2587	NT16AB1391 (100.00%)	NT17AB1481 (99.60%)	NT20ABA2547 (100.00%)
NT08AB2588	NT16AB1390 (100.00%)	NT17AB1480 (99.71%)	NT20ABA2548 (100.00%)
NT08AB2589	NT16AB1389 (100.00%)	NT17AB1479 (100.00%)	NT20ABA2549 (100.00%)
NT08AB2590	NT16AB1388 (100.00%)	NT17AB1478 (100.00%)	NT20ABA2550 (100.00%)
NT08AB2591	NT16AB1387 (100.00%)	NT17AB1477 (100.00%)	NT20ABA2551 (100.00%)
NT08AB2592	NT16AB1386 (100.00%)	NT17AB1476 (100.00%)	NT20ABA2552 (100.00%)
NT08AB2593	NT16AB1385 (100.00%)	NT17AB1475 (100.00%)	NT20ABA2553 (100.00%)
NT08AB2594	NT16AB1384 (100.00%)	NT17AB1474 (100.00%)	NT20ABA2554 (100.00%)
NT08AB2595	NT16AB1383 (100.00%)	NT17AB1473 (99.32%)	NT20ABA2555 (100.00%)
NT08AB2596			
NT08AB2597	NT16AB1382 (100.00%)	NT17AB1472 (99.61%)	NT20ABA2556 (100.00%)
NT08AB2598	NT16AB1381 (98.88%)	NT17AB1471 (99.35%)	NT20ABA2557 (98.88%)
NT08AB2599	NT16AB1380 (99.53%)		NT20ABA2558 (99.53%)
NT08AB2600	NT16AB1379 (99.61%)		NT20ABA2559 (99.61%)
NT08AB2601	NT16AB1378 (93.94%)		NT20ABA2560 (93.94%)
NT08AB2602	NT16AB1377 (99.42%)	NT17AB1469 (98.83%)	NT20ABA2561 (98.45%)
NT08AB2603	NT16AB1376 (100.00%)	NT17AB1468 (99.70%)	NT20ABA2562 (100.00%)
NT08AB2604	NT16AB1375 (95.45%)		NT20ABA2563 (95.45%)
NT08AB2605	NT16AB1374 (99.52%)	NT17AB1431 (99.68%)	NT20ABA2564 (99.68%)
NT08AB2606	NT16AB1373 (100.00%)	NT17AB1430 (100.00%)	NT20ABA2565 (100.00%)
NT08AB2607	NT16AB1372 (100.00%)	NT17AB1429 (99.28%)	NT20ABA2566 (100.00%)
NT08AB2608	NT16AB1371 (100.00%)	NT17AB1428 (99.29%)	NT20ABA2567 (100.00%)
NT08AB2609	NT16AB1370 (100.00%)	NT17AB1427 (100.00%)	NT20ABA2568 (100.00%)
NT08AB2610	NT16AB1369 (99.66%)	NT17AB1426 (99.66%)	NT20ABA2569 (99.66%)
NT08AB2611			
NT08AB2612	NT16AB1368 (100.00%)	NT17AB1425 (100.00%)	NT20ABA2570 (100.00%)
NT08AB2613	NT16AB1367 (100.00%)	NT17AB1424 (98.90%)	NT20ABA2571 (100.00%)
NT08AB2614			
NT08AB2615	NT16AB1366 (100.00%)	NT17AB1423 (99.71%)	NT20ABA2572 (100.00%)
NT08AB2616	NT16AB1365 (100.00%)	NT17AB1422 (100.00%)	NT20ABA2573 (100.00%)
NT08AB2617	NT16AB1364 (99.18%)	NT17AB1421 (99.18%)	NT20ABA2574 (99.18%)
NT08AB2618	NT16AB1363 (100.00%)	NT17AB1420 (98.51%)	NT20ABA2575 (100.00%)
NT08AB2619	NT16AB1362 (100.00%)	NT17AB2193 (100.00%)	NT20ABA2576 (100.00%)
NT08AB2620	NT16AB1361 (98.40%)	NT17AB2194 (96.30%)	NT20ABA2577 (98.40%)
NT08AB2621	NT16AB1360 (98.42%)	NT17AB2196 (98.74%)	NT20ABA2578 (98.42%)
NT08AB2622			
NT08AB2623	NT16AB1359 (100.00%)	NT17AB2195 (97.73%)	NT20ABA2579 (100.00%)
NT08AB2624	NT16AB1358 (99.34%)		NT20ABA2580 (99.34%)
NT08AB2625	NT16AB1357 (99.34%)		NT20ABA2581 (99.34%)
NT08AB2626	NT16AB1356 (97.93%)		NT20ABA2582 (97.93%)
NT08AB2627	NT16AB1355 (95.73%)	NT17AB2198 (98.59%)	NT20ABA2583 (95.73%)
NT08AB2628	NT16AB1339 (91.47%)	NT17AB2199 (92.45%)	NT20ABA2598 (91.47%)
NT08AB2629	NT16AB1338 (99.82%)	NT17AB2200 (100.00%)	NT20ABA2599 (99.82%)
NT08AB2630	NT16AB1337 (98.88%)	NT17AB2201 (98.85%)	NT20ABA2600 (98.88%)
NT08AB2631	NT16AB1336 (99.02%)	NT17AB2202 (99.51%)	NT20ABA2601 (99.02%)
NT08AB2632	NT16AB1335 (97.44%)		NT20ABA2602 (97.44%)
NT08AB2633	NT16AB1334 (97.64%)	NT17AB1240 (97.62%)	NT20ABA2603 (97.64%)
NT08AB2634	NT16AB1333 (98.37%)		NT20ABA2604 (98.37%)
NT08AB2635			
NT08AB2636		NT17AB1238 (98.41%)	
NT08AB2637			
NT08AB2638	NT16AB1332 (100.00%)	NT17AB1237 (100.00%)	NT20ABA2605 (100.00%)
NT08AB2639	NT16AB1331 (100.00%)		NT20ABA2606 (100.00%)
NT08AB2640	NT16AB1328 (99.41%)		NT20ABA2609 (99.41%)
NT08AB2641	NT16AB1327 (98.92%)		NT20ABA2610 (98.92%)
NT08AB2642	NT16AB1326 (98.90%)		NT20ABA2611 (98.90%)
NT08AB2643	NT16AB1325 (96.48%)		NT20ABA2612 (96.48%)
NT08AB2644	NT16AB1324 (97.80%)		NT20ABA2613 (97.80%)
NT08AB2645	NT16AB1323 (100.00%)		NT20ABA2614 (100.00%)
NT08AB2646	NT16AB1322 (99.06%)		NT20ABA2615 (99.06%)
NT08AB2647	NT16AB1321 (100.00%)		NT20ABA2616 (100.00%)
NT08AB2648	NT16AB1320 (99.57%)		NT20ABA2617 (99.57%)
NT08AB2649	NT16AB1319 (99.66%)	NT17AB1234 (99.41%)	NT20ABA2618 (99.66%)
NT08AB2650	NT16AB1313 (100.00%)	NT17AB1233 (98.54%)	NT20ABA2624 (100.00%)
NT08AB2651	NT16AB1312 (99.48%)	NT17AB1232 (98.42%)	NT20ABA2625 (99.48%)
NT08AB2652	NT16AB1311 (99.64%)	NT17AB1231 (100.00%)	NT20ABA2626 (99.64%)
NT08AB2653	NT16AB1310 (98.51%)		NT20ABA2627 (98.51%)
NT08AB2654			
NT08AB2655	NT16AB1309 (98.08%)		NT20ABA2629 (97.93%)
NT08AB2656	NT16AB1308 (97.62%)		NT20ABA2628 (97.62%)
NT08AB2657	NT16AB1307 (97.78%)		NT20ABA2630 (97.78%)
NT08AB2658	NT16AB1306 (100.00%)		NT20ABA2631 (100.00%)
NT08AB2659	NT16AB1305 (98.99%)		NT20ABA2632 (99.50%)
NT08AB2660	NT16AB1304 (98.81%)		NT20ABA2633 (98.81%)
NT08AB2661	NT16AB1303 (99.07%)		NT20ABA2634 (99.07%)
NT08AB2662	NT16AB1302 (100.00%)		NT20ABA2635 (95.65%)
NT08AB2663	NT16AB1301 (99.35%)		NT20ABA2636 (99.35%)
NT08AB2664	NT16AB1300 (99.62%)		NT20ABA2637 (99.62%)
NT08AB2665	NT16AB1299 (99.37%)		NT20ABA2638 (99.37%)
NT08AB2666			
NT08AB2667	NT16AB1298 (97.70%)		NT20ABA2639 (97.70%)
NT08AB2672	NT16AB1293 (94.20%)	NT17AB1214 (97.77%)	NT20ABA2644 (94.20%)
NT08AB2673	NT16AB1292 (100.00%)	NT17AB1213 (99.80%)	NT20ABA2645 (100.00%)
NT08AB2674	NT16AB1291 (99.66%)	NT17AB1212 (100.00%)	NT20ABA2646 (99.66%)
NT08AB2675			
NT08AB2676	NT16AB1290 (98.30%)	NT17AB1211 (99.32%)	NT20ABA2647 (98.30%)
NT08AB2677	NT16AB1289 (99.70%)	NT17AB1210 (99.40%)	NT20ABA2648 (99.70%)
NT08AB2678	NT16AB1288 (100.00%)	NT17AB1209 (100.00%)	NT20ABA2649 (100.00%)
NT08AB2679	NT16AB1287 (100.00%)	NT17AB1208 (100.00%)	NT20ABA2650 (100.00%)
NT08AB2680	NT16AB1286 (99.58%)	NT17AB1207 (99.58%)	NT20ABA2651 (99.58%)
NT08AB2681	NT16AB1285 (99.38%)	NT17AB1206 (99.07%)	NT20ABA2652 (99.38%)
NT08AB2682	NT16AB1284 (98.61%)	NT17AB1205 (97.94%)	NT20ABA2653 (98.61%)
NT08AB2683	NT16AB1283 (100.00%)	NT17AB1204 (99.36%)	NT20ABA2654 (100.00%)
NT08AB2684	NT16AB1282 (100.00%)	NT17AB1203 (99.60%)	NT20ABA2655 (100.00%)
NT08AB2685	NT16AB1281 (100.00%)	NT17AB1202 (99.49%)	NT20ABA2656 (100.00%)
NT08AB2686	NT16AB1280 (100.00%)	NT17AB1201 (98.80%)	NT20ABA2657 (100.00%)
NT08AB2687	NT16AB1279 (99.37%)	NT17AB1200 (98.10%)	NT20ABA2658 (99.37%)
NT08AB2688	NT16AB1278 (99.47%)	NT17AB1199 (95.54%)	NT20ABA2660 (99.56%)
NT08AB2689	NT16AB1229 (100.00%)	NT17AB1198 (98.68%)	NT20ABA2661 (99.34%)
NT08AB2690	NT16AB1228 (100.00%)	NT17AB1197 (99.72%)	NT20ABA2662 (100.00%)
NT08AB2691	NT16AB1227 (99.48%)	NT17AB1196 (99.48%)	NT20ABA2663 (99.48%)
NT08AB2692	NT16AB1226 (99.21%)	NT17AB1195 (100.00%)	NT20ABA2664 (99.21%)
NT08AB2693	NT16AB1225 (100.00%)	NT17AB1194 (99.74%)	NT20ABA2665 (99.74%)
NT08AB2694	NT16AB1224 (100.00%)	NT17AB1193 (100.00%)	NT20ABA2666 (100.00%)
NT08AB2695	NT16AB1223 (100.00%)	NT17AB1191 (100.00%)	NT20ABA2667 (100.00%)
NT08AB2696	NT16AB1222 (100.00%)	NT17AB1190 (100.00%)	NT20ABA2668 (100.00%)
NT08AB2697	NT16AB1221 (100.00%)	NT17AB1189 (100.00%)	NT20ABA2669 (100.00%)
NT08AB2698	NT16AB1220 (100.00%)	NT17AB1188 (98.46%)	NT20ABA2670 (100.00%)
NT08AB2699	NT16AB1219 (100.00%)	NT17AB1187 (99.62%)	NT20ABA2671 (100.00%)
NT08AB2700		NT17AB1186 (94.74%)	
NT08AB2701	NT16AB1218 (98.83%)	NT17AB1185 (96.89%)	NT20ABA2673 (98.92%)
NT08AB2702	NT16AB1217 (100.00%)	NT17AB1184 (99.52%)	NT20ABA2674 (100.00%)
NT08AB2703		NT17AB1183 (99.75%)	
NT08AB2704	NT16AB1216 (88.99%)	NT17AB1181 (88.05%)	NT20ABA2675 (88.99%)
NT08AB2705			
NT08AB2706			
NT08AB2707	NT16ABB0008 (74.83%)		NT20ABA4014 (74.83%)
NT08AB2708			
NT08AB2709	NT16AB1215 (95.68%)	NT17AB1180 (96.71%)	NT20ABA2676 (95.68%)
NT08AB2710	NT16AB1214 (99.21%)	NT17AB1179 (99.21%)	NT20ABA2677 (99.21%)
NT08AB2711	NT16AB1213 (100.00%)	NT17AB1178 (99.60%)	NT20ABA2678 (100.00%)
NT08AB2712	NT16AB1212 (100.00%)	NT17AB1177 (99.46%)	NT20ABA2679 (100.00%)
NT08AB2713	NT16AB1211 (98.63%)	NT17AB1176 (98.63%)	NT20ABA2680 (98.63%)
NT08AB2714	NT16AB1210 (99.48%)	NT17AB1175 (98.95%)	NT20ABA2681 (99.48%)
NT08AB2715	NT16AB1209 (100.00%)	NT17AB1174 (100.00%)	NT20ABA2682 (99.78%)
NT08AB2716	NT16AB1208 (97.60%)	NT17AB1171 (98.50%)	NT20ABA2683 (97.60%)
NT08AB2717	NT16AB1207 (100.00%)	NT17AB1170 (100.00%)	NT20ABA2684 (100.00%)
NT08AB2718	NT16AB1206 (100.00%)	NT17AB1169 (100.00%)	NT20ABA2685 (100.00%)
NT08AB2719	NT16AB1205 (99.87%)	NT17AB1168 (99.37%)	NT20ABA2687 (99.69%)
NT08AB2720	NT16AB1204 (100.00%)	NT17AB1167 (99.45%)	NT20ABA2688 (100.00%)
NT08AB2721	NT16AB1203 (98.66%)	NT17AB1166 (98.66%)	NT20ABA2689 (98.66%)
NT08AB2722	NT16AB1202 (100.00%)	NT17AB1165 (100.00%)	NT20ABA2690 (100.00%)
NT08AB2723	NT16AB1201 (98.01%)	NT17AB1164 (96.96%)	NT20ABA2691 (98.01%)
NT08AB2724	NT16AB1200 (99.09%)	NT17AB1163 (97.73%)	NT20ABA2692 (99.09%)
NT08AB2725	NT16AB1199 (99.16%)	NT17AB1162 (97.48%)	NT20ABA2693 (99.16%)
NT08AB2726	NT16AB1198 (98.97%)	NT17AB1161 (99.15%)	NT20ABA2694 (98.97%)
NT08AB2727	NT16AB1197 (98.82%)	NT17AB1160 (97.06%)	NT20ABA2695 (98.82%)
NT08AB2728	NT16AB1193 (99.30%)	NT17AB1159 (99.57%)	NT20ABA2696 (99.57%)
NT08AB2729	NT16AB1192 (100.00%)	NT17AB1158 (99.61%)	NT20ABA2697 (100.00%)
NT08AB2730	NT16AB1191 (97.92%)	NT17AB1157 (96.89%)	NT20ABA2698 (97.92%)
NT08AB2731	NT16AB1190 (98.06%)	NT17AB1361 (98.98%)	NT20ABA2699 (98.06%)
NT08AB2732	NT16AB1189 (98.46%)	NT17AB1363 (97.06%)	NT20ABA2700 (98.46%)
NT08AB2733	NT16AB1188 (91.30%)	NT17AB1364 (92.75%)	NT20ABA2701 (91.30%)
NT08AB2734	NT16AB1187 (95.41%)		NT20ABA2702 (95.41%)
NT08AB2735	NT16AB1186 (100.00%)	NT17AB1151 (91.37%)	NT20ABA2703 (100.00%)
NT08AB2736	NT16AB1185 (98.31%)		NT20ABA2705 (98.31%)
NT08AB2737	NT16AB1184 (99.13%)	NT17AB1154 (100.00%)	NT20ABA2706 (99.13%)
NT08AB2738	NT16AB1183 (100.00%)	NT17AB1382 (99.25%)	NT20ABA2707 (100.00%)
NT08AB2739	NT16AB1182 (99.71%)	NT17AB1381 (99.69%)	NT20ABA2708 (99.71%)
NT08AB2740	NT16AB1181 (99.51%)	NT17AB1380 (99.75%)	NT20ABA2710 (99.51%)
NT08AB2741	NT16AB1180 (99.91%)	NT17AB1379 (99.53%)	NT20ABA2711 (99.91%)
NT08AB2742	NT16AB1179 (99.79%)	NT17AB1378 (98.96%)	NT20ABA2712 (99.79%)
NT08AB2743	NT16AB1178 (100.00%)	NT17AB1377 (99.28%)	NT20ABA2713 (100.00%)
NT08AB2744	NT16AB1177 (100.00%)		NT20ABA2714 (100.00%)
NT08AB2745	NT16AB1176 (90.95%)	NT17AB1376 (97.54%)	NT20ABA2715 (90.95%)
NT08AB2746	NT16AB1175 (99.56%)	NT17AB1375 (99.12%)	NT20ABA2716 (99.56%)
NT08AB2747	NT16AB1174 (98.68%)	NT17AB1374 (98.68%)	NT20ABA2717 (98.68%)
NT08AB2749	NT16AB1172 (100.00%)	NT17AB1148 (99.68%)	NT20ABA2793 (100.00%)
NT08AB2750	NT16AB1171 (100.00%)	NT17AB1147 (99.22%)	NT20ABA2794 (100.00%)
NT08AB2751	NT16AB1170 (98.89%)	NT17AB1146 (98.15%)	NT20ABA2795 (98.89%)
NT08AB2752	NT16AB1169 (100.00%)	NT17AB1145 (100.00%)	NT20ABA2796 (100.00%)
NT08AB2753	NT16AB1168 (100.00%)	NT17AB1144 (100.00%)	NT20ABA2797 (100.00%)
NT08AB2754	NT16AB1167 (99.70%)	NT17AB1143 (98.80%)	NT20ABA2798 (99.70%)
NT08AB2755	NT16AB1166 (99.51%)	NT17AB1142 (100.00%)	NT20ABA2799 (99.51%)
NT08AB2756			
NT08AB2757	NT16AB1165 (99.33%)		NT20ABA2800 (99.33%)
NT08AB2758	NT16AB1164 (98.97%)	NT17AB1140 (97.95%)	NT20ABA2801 (98.46%)
NT08AB2759	NT16AB1163 (100.00%)	NT17AB1138 (100.00%)	NT20ABA2802 (100.00%)
NT08AB2760	NT16AB1162 (100.00%)	NT17AB1137 (96.27%)	NT20ABA2803 (100.00%)
NT08AB2761	NT16AB1161 (100.00%)	NT17AB1136 (100.00%)	NT20ABA2804 (100.00%)
NT08AB2762			
NT08AB2763	NT16AB1160 (100.00%)	NT17AB1135 (100.00%)	NT20ABA2805 (100.00%)
NT08AB2764	NT16AB1159 (100.00%)	NT17AB1134 (99.64%)	NT20ABA2806 (100.00%)
